Date,Close
9/26/2019 16:00:00,25.76
9/27/2019 16:00:00,25.24
9/30/2019 16:00:00,25.1
10/1/2019 16:00:00,22.51
10/2/2019 16:00:00,22.6
10/3/2019 16:00:00,22.33
10/4/2019 16:00:00,23.01
10/7/2019 16:00:00,23.51
10/8/2019 16:00:00,23.21
10/9/2019 16:00:00,24
10/10/2019 16:00:00,23.14
10/11/2019 16:00:00,22.39
10/14/2019 16:00:00,21.47
10/15/2019 16:00:00,23.45
10/16/2019 16:00:00,23.03
10/17/2019 16:00:00,23.86
10/18/2019 16:00:00,23.52
10/21/2019 16:00:00,22.26
10/22/2019 16:00:00,21.16
10/23/2019 16:00:00,21.08
10/24/2019 16:00:00,21.34
10/25/2019 16:00:00,22.4
10/28/2019 16:00:00,21.46
10/29/2019 16:00:00,23.18
10/30/2019 16:00:00,23.72
10/31/2019 16:00:00,23.87
11/1/2019 16:00:00,24.99
11/4/2019 16:00:00,24.61
11/5/2019 16:00:00,22.74
11/6/2019 16:00:00,23.02
11/7/2019 16:00:00,22.63
11/8/2019 16:00:00,23.52
11/11/2019 16:00:00,24.04
11/12/2019 16:00:00,24.69
11/13/2019 16:00:00,25.98
11/14/2019 16:00:00,25.93
11/15/2019 16:00:00,27.23
11/18/2019 16:00:00,30.25
11/19/2019 16:00:00,29.24
11/20/2019 16:00:00,29.1
11/21/2019 16:00:00,29.8
11/22/2019 16:00:00,29.36
11/25/2019 16:00:00,30.87
11/26/2019 16:00:00,30.96
11/27/2019 16:00:00,32.16
11/29/2019 13:00:00,35.23
12/2/2019 16:00:00,36.84
12/3/2019 16:00:00,33.48
12/4/2019 16:00:00,32.96
12/5/2019 16:00:00,31.31
12/6/2019 16:00:00,32.63
12/9/2019 16:00:00,34.77
12/10/2019 16:00:00,32.78
12/11/2019 16:00:00,32.03
12/12/2019 16:00:00,30.85
12/13/2019 16:00:00,31.53
12/16/2019 16:00:00,31.34
12/17/2019 16:00:00,32.93
12/18/2019 16:00:00,31.89
12/19/2019 16:00:00,31.93
12/20/2019 16:00:00,29.99
12/23/2019 16:00:00,29.22
12/24/2019 13:00:00,28.75
12/26/2019 16:00:00,27
12/27/2019 16:00:00,27
12/30/2019 16:00:00,27.69
12/31/2019 16:00:00,28.4
1/2/2020 16:00:00,29.74
1/3/2020 16:00:00,30.6
1/6/2020 16:00:00,29.75
1/7/2020 16:00:00,30.4
1/8/2020 16:00:00,29.65
1/9/2020 16:00:00,27.87
1/10/2020 16:00:00,28.01
1/13/2020 16:00:00,28.53
1/14/2020 16:00:00,29.69
1/15/2020 16:00:00,30.86
1/16/2020 16:00:00,30.83
1/17/2020 16:00:00,31.7
1/21/2020 16:00:00,32
1/22/2020 16:00:00,30.68
1/23/2020 16:00:00,30.06
1/24/2020 16:00:00,30.5
1/27/2020 16:00:00,31.25
1/28/2020 16:00:00,31.38
1/29/2020 16:00:00,31.5
1/30/2020 16:00:00,32.26
1/31/2020 16:00:00,32.36
2/3/2020 16:00:00,33.37
2/4/2020 16:00:00,33.47
2/5/2020 16:00:00,32.7
2/6/2020 16:00:00,29
2/7/2020 16:00:00,27.86
2/10/2020 16:00:00,28.6
2/11/2020 16:00:00,28.65
2/12/2020 16:00:00,28.34
2/13/2020 16:00:00,28.85
2/14/2020 16:00:00,27.66
2/18/2020 16:00:00,27.08
